Epoch,Error,w1,w2
47,1080873372.6772056,9225.456287352157,24708.6878269263
48,1077711841.9222627,9212.485928167787,24845.092390055568
49,1074837294.6375363,9200.041812989646,24975.962635842607
50,1072225469.6324594,9188.10259061611,25101.523107130728
51,1069854093.1430302,9176.647776123942,25221.989236427587
52,1067702718.4518585,9165.657715720947,25337.567715537207
53,1065752578.3548932,9155.113553024636,25448.45685019491
54,1063986449.4496524,9144.997196709071,25554.846900313787
55,1062388527.3013799,9135.291289464365,25656.920406426314
56,1060944311.6187147,9125.979178215586,25754.852502881404
57,1059640500.6396918,9117.044885549958,25848.81121833414
58,1058464893.992507,9108.473082303348,25938.957764043767
59,1057406303.3541497,9100.249061258986,26025.446810474652
60,1056454470.2838858,9092.358711913315,26108.426752674743
61,1055599990.6583014,9084.788496265657,26188.039964886928
62,1054834245.1802404,9077.525425590145,26264.423044830008
63,1054149335.4760776,9070.557038150115,26337.707048068572
64,1053538025.3344781,9063.871377816658,26408.017712873825
65,1052993686.675388,9057.456973554692,26475.47567596112
66,1052510249.8708494,9051.302819741335,26540.196679474488
67,1052082158.0693613,9045.398357282837,26602.291769573123
68,1051704325.2033303,9039.733455497606,26661.867486960793
69,1051372097.38468,9034.298394734351,26719.026049684784
70,1051081217.4172775,9029.083849695415,26773.865528518294
71,1050827792.1764108,9024.08087343672,26826.480015227025
72,1050608262.6255621,9019.280882016918,26876.959784008694
73,1050419376.2590133,9014.675639769344,26925.39144638255
74,1050258161.7757318,9010.25724517152,26971.85809979452
75,1050121905.8054762,9006.018117287995,27016.439470193134
76,1050008131.5224583,9001.95098276322,27059.21204882059
77,1049914578.9949162,8998.048863342174,27100.249223453935
78,1049839187.1312044,8994.30506389729,27139.62140432138
79,1049780077.0940543,8990.713160941194,27177.39614490987
80,1049735537.0649545,8987.26699160548,27213.638257871087
81,1049704008.2500527,8983.960643066677,27248.4099262249
82,1049684072.0276363,8980.788442401214,27281.77081005087
83,1049674438.1452557,8977.74494685201,27313.778148851117
84,1049673933.88192,8974.824934489969,27344.486859759916
85,1049681494.0975614,8972.023395254373,27373.949631768708
86,1049696152.0981767,8969.33552235677,27402.21701612816
87,1049717031.2508149,8966.756704033658,27429.337513082293
88,1049743337.2878184,8964.282515633773,27455.35765508364
89,1049774351.2446394,8961.908712026414,27480.32208663204
90,1049809422.9799408,8959.631220317797,27504.273640874217
91,1049847965.2308708,8957.446132862893,27527.25341309551
92,1049889448.1601387,8955.349700560859,27549.300831229757
93,1049933394.3550231,8953.33832642242,27570.45372350847
94,1049979374.241637,8951.408559398296,27590.74838336526
95,1050027001.88071,8949.557088457987,27610.219631706907
96,1050075931.1138731,8947.780736908839,27628.9008766579
97,1050125852.0319358,8946.076456945557,27646.824170881035
98,1050176487.7389009,8944.4413244209,27664.020266572286
99,1050227591.3876115,8942.872533828511,27680.51866822443
100,1050278943.4648517,8941.36739348933,27696.34768324985
101,1050330349.3055058,8939.923320933294,27711.53447054948
102,1050381636.817039,8938.537838468434,27726.10508711115
103,1050432654.3970424,8937.208568929713,27740.08453271729
104,1050483269.0280324,8935.933231600387,27753.496792838734
105,1050533364.5349085,8934.709638298806,27766.364879788198
106,1050582839.991701,8933.535689624008,27778.710872204105
107,1050631608.265296,8932.409371353659,27790.555952932245
108,1050679594.6848353,8931.32875098808,27801.92044537073
109,1050726735.8263975,8930.291974434558,27812.823848340187
110,1050772978.4033949,8929.297262826143,27823.284869539122
111,1050818278.2539508,8928.342909469524,27833.321457642054
112,1050862599.417132,8927.427276916747,27842.950833095194
113,1050905913.2907065,8926.548794155735,27852.189517662762
114,1050948197.8635491,8925.705953914796,27861.053362774448
115,1050989437.0164905,8924.897310076489,27869.55757672283
116,1051029619.8858535,8924.121475196445,27877.716750757176
117,1051068740.284413,8923.377118122806,27885.54488411868
118,1051106796.1749159,8922.662961712305,27893.05540805989
119,1051143789.1917454,8921.97778063897,27900.261208889617
120,1051179724.206632,8921.320399291757,27907.174650082838
121,1051214608.9346634,8920.68968975747,27913.807593493475
122,1051248453.5771636,8920.084569885537,27920.171419706676
123,1051281270.4982784,8919.504001431273,27926.277047565163
124,1051313073.9323757,8918.946988274505,27932.134952903467
125,1051343879.7196068,8918.41257471047,27937.75518652201
126,1051373705.0671774,8917.899843810033,27943.147391431914
127,1051402568.3341159,8917.407915846452,27948.320819400193
128,1051430488.8374575,8916.935946785989,27953.2843468236
129,1051457486.6780155,8916.483126839723,27958.046489958484
