Epoch,Error,w1,w2,w3
46,1427730642.1331022,949.9309240785375,288.9745651254299,0
47,1426217292.691113,949.4774985818781,291.68784069636365,0
48,1424710466.789374,949.0250376182107,294.39530064522836,0
49,1423210136.7604759,948.5735412110696,297.09695776725783,0
50,1421716274.9490843,948.1230087724723,299.7928247330131,0
51,1420228853.743453,947.6734392830834,302.48291411709545,0
52,1418747845.597464,947.2248314196758,305.1672384184777,0
53,1417273223.0459747,946.7771836453079,307.84581007490607,0
54,1415804958.715486,946.3304942731227,310.51864147310454,0
55,1414343025.331495,945.8847615114813,313.1857449560124,0
56,1412887395.723525,945.4399834958934,315.84713282792075,0
57,1411438042.8285146,944.9961583116052,318.50281735812325,0
58,1409994939.693059,944.553284009577,321.15281078351467,0
59,1408558059.4748423,944.1113586177875,323.7971253104468,0
60,1407127375.4434993,943.6703801492238,326.43577311605725,0
61,1405702860.9810743,943.2303466075371,329.06876634922605,0
62,1404284489.5822048,942.7912559910374,331.6961171312686,0
63,1402872234.8541014,942.3531062955193,334.31783755644204,0
64,1401466070.5164,941.9158955162575,336.9339396923202,0
65,1400065970.4009044,941.4796216494161,339.54443558007455,0
66,1398671908.4512687,941.0442826930438,342.1493372346894,0
67,1397283858.7226377,940.6098766477742,344.7486566451301,0
68,1395901795.381243,940.1764015173186,347.34240577447764,0
69,1394525692.7039876,939.7438553088137,349.930596560041,0
70,1393155525.078011,939.3122360330619,352.51324091345157,0
71,1391791267.0002418,938.8815417047019,355.0903507207468,0
72,1390432893.076953,938.4517703423243,357.66193784244393,0
73,1389080378.0232992,938.0229199685526,360.22801411361013,0
74,1387733696.6628675,937.5949886100954,362.7885913439255,0
75,1386392823.9272146,937.1679742977841,365.3436813177458,0
76,1385057734.8554103,936.7418750665933,367.893295794161,0
77,1383728404.5935822,936.3166889556558,370.4374465070531,0
78,1382404808.394457,935.8924140082679,372.97614516515233,0
79,1381086921.6169047,935.469048271893,375.5094034520935,0
80,1379774719.725489,935.0465897981586,378.0372330264706,0
81,1378468178.2900085,934.6250366428553,380.5596455218913,0
82,1377167272.9850545,934.20438686593,383.07665254703113,0
83,1375871979.5895557,933.7846385314807,385.5882656856876,0
84,1374582273.986333,933.3657897077487,388.0944964968336,0
85,1373298132.1616583,932.947838467112,390.59535651467087,0
86,1372019530.204804,932.5307828860774,393.09085724868345,0
87,1370746444.3076108,932.1146210452712,395.58101018369024,0
88,1369478850.764039,931.6993510294325,398.06582677989826,0
89,1368216725.969738,931.2849709274029,400.5453184729557,0
90,1366960046.421607,930.8714788321204,403.01949667400413,0
91,1365708788.7173634,930.458872840608,405.4883727697313,0
92,1364462929.5551064,930.0471510539672,407.95195812242366,0
93,1363222445.7328916,929.6363115773687,410.4102640700181,0
94,1361987314.1483016,929.2263525200428,412.86330192615515,0
95,1360757511.7980165,928.8172719952724,415.3110829802299,0
96,1359533015.7773945,928.4090681203833,417.75361849744496,0
97,1358313803.280044,928.0017390167355,420.1909197188617,0
98,1357099851.597403,927.5952828097152,422.62299786145223,0
99,1355891138.1183257,927.1896976287254,425.0498641181506,0
100,1354687640.3286572,926.7849816071782,427.471529657905,0
101,1353489335.8108215,926.3811328824853,429.8880056257286,0
102,1352296202.2434106,925.9781495960502,432.2993031427514,0
103,1351108217.4007642,925.5760298932593,434.70543330627083,0
104,1349925359.1525693,925.1747719234731,437.1064071898031,0
105,1348747605.463444,924.7743738400185,439.5022358431343,0
106,1347574934.3925328,924.3748338001794,441.89293029237103,0
107,1346407324.0931058,923.9761499651884,444.27850153999077,0
108,1345244752.8121457,923.5783205002191,446.6589605648937,0
109,1344087198.889958,923.1813435743765,449.0343183224519,0
110,1342934640.7597606,922.7852173606893,451.4045857445606,0
111,1341787056.947293,922.3899400361015,453.76977373968816,0
112,1340644426.0704155,921.9955097814642,456.12989319292615,0
113,1339506726.8387167,921.6019247815266,458.4849549660403,0
114,1338373938.053119,921.2091832249276,460.834969897519,0
115,1337246038.6054864,920.817283304188,463.1799488026247,0
116,1336123007.4782388,920.4262232157024,465.5199024734427,0
117,1335004823.74396,920.0360011597301,467.85484167893094,0
118,1333891466.5650105,919.6466153403868,470.18477716497017,0
119,1332782915.193148,919.2580639656375,472.5097196544125,0
120,1331679148.9691381,918.8703452472876,474.82967984713156,0
121,1330580147.3223774,918.4834574009735,477.1446684200713,0
122,1329485889.7705112,918.0973986461569,479.45469602729526,0
123,1328396355.9190567,917.7121672061136,481.7597733000354,0
124,1327311525.461025,917.3277613079276,484.0599108467417,0
125,1326231378.1765473,916.9441791824826,486.3551192531298,0
126,1325155893.9325008,916.561419064453,488.6454090822307,0
127,1324085052.6821373,916.1794791922966,490.93079087443914,0
128,1323018834.4647143,915.7983578082453,493.2112751475621,0
129,1321957219.4051218,915.4180531582991,495.486872396867,0
130,1320900187.7135217,915.0385634922158,497.75759309513023,0
131,1319847719.684979,914.6598870635046,500.0234476926853,0
132,1318799795.6990955,914.2820221294165,502.28444661747073,0
133,1317756396.2196517,913.9049669509383,504.5406002750785,0
134,1316717501.7942462,913.5287197927823,506.7919190488012,0
135,1315683093.053931,913.1532789233805,509.0384132996809,0
136,1314653150.7128606,912.778642614875,511.28009336655566,0
137,1313627655.5679317,912.4048091431112,513.5169695661081,0
138,1312606588.4984293,912.0317767876288,515.7490521929117,0
139,1311589930.465673,911.6595438316543,517.9763515194797,0
140,1310577662.5126696,911.2881085620938,520.1988777963112,0
141,1309569765.7637577,910.9174692695243,522.4166412519387,0
142,1308566221.424259,910.5476242481856,524.6296520929754,0
143,1307567010.7801378,910.178571795973,526.8379205041621,0
144,1306572115.1976466,909.8103102144303,529.0414566484137,0
145,1305581516.122991,909.4428378087398,531.2402706668662,0
146,1304595195.0819771,909.0761528877168,533.4343726789232,0
147,1303613133.6796806,908.7102537637999,535.6237727823028,0
148,1302635313.6000993,908.3451387530447,537.8084810530842,0
149,1301661716.6058161,907.9808061751154,539.9885075457532,0
150,1300692324.537668,907.6172543532767,542.16386229325,0
151,1299727119.3144026,907.2544816143871,544.3345553070142,0
152,1298766082.9323502,906.8924862888898,546.5005965770301,0
153,1297809197.465088,906.5312667108068,548.6619960718749,0
154,1296856445.0631106,906.1708212177294,550.8187637387629,0
155,1295907807.9534996,905.8111481508122,552.9709095035914,0
156,1294963268.4395938,905.4522458547636,555.1184432709875,0
157,1294022808.9006684,905.09411267784,557.2613749243524,0
158,1293086411.791601,904.7367469718378,559.3997143259073,0
159,1292154059.642554,904.3801470920846,561.5334713167393,0
160,1291225735.058648,904.0243113974329,563.6626557168464,0
161,1290301420.7196453,903.6692382502522,565.7872773251821,0
162,1289381099.3796227,903.3149260164214,567.907345919701,0
163,1288464753.8666613,902.9613730653213,570.0228712574041,0
164,1287552367.0825224,902.6085777698266,572.1338630743828,0
165,1286643922.002335,902.2565385062992,574.2403310858655,0
166,1285739401.674283,901.9052536545809,576.3422849862598,0
167,1284838789.2192872,901.5547215979849,578.439734449199,0
168,1283942067.8306975,901.204940723289,580.5326891275861,0
169,1283049220.773981,900.8559094207283,582.6211586536377,0
170,1282160231.3864129,900.5076260839872,584.7051526389292,0
171,1281275083.0767689,900.1600891101932,586.7846806744385,0
172,1280393759.325021,899.8132968999074,588.8597523305906,0
173,1279516243.6820242,899.4672478571198,590.9303771573007,0
174,1278642519.7692268,899.1219403892399,592.9965646840188,0
175,1277772571.2783527,898.7773729070902,595.0583244197741,0
176,1276906381.9711103,898.433543824899,597.1156658532176,0
177,1276043935.678889,898.0904515602925,599.1685984526669,0
178,1275185216.30246,897.7480945342878,601.2171316661484,0
179,1274330207.811681,897.4064711712861,603.2612749214422,0
180,1273478894.245196,897.065579899065,605.3010376261253,0
181,1272631259.7101488,896.7254191487716,607.3364291676133,0
182,1271787288.3818784,896.3859873549144,609.3674589132062,0
183,1270946964.5036333,896.0472829553571,611.3941362101289,0
184,1270110272.3862822,895.7093043913106,613.4164703855758,0
185,1269277196.4080176,895.3720501073271,615.4344707467537,0
186,1268447721.014074,895.0355185512915,617.4481465809238,0
187,1267621830.716435,894.6997081744146,619.4575071554455,0
188,1266799510.0935502,894.3646174312266,621.4625617178173,0
189,1265980743.790051,894.0302447795699,623.4633194957217,0
190,1265165516.5164642,893.6965886805909,625.4597896970665,0
191,1264353813.0489314,893.3636475987344,627.4519815100263,0
192,1263545618.2289279,893.0314200017353,629.4399041030862,0
193,1262740916.962979,892.6999043606128,631.4235666250835,0
194,1261939694.22239,892.3690991496621,633.4029782052498,0
195,1261141935.042958,892.0390028464485,635.3781479532528,0
196,1260347624.5247009,891.7096139317995,637.349084959238,0
197,1259556747.8315833,891.3809308897975,639.3157982938717,0
198,1258769290.191239,891.0529522077746,641.2782970083816,0
199,1257985236.8947005,890.7256763763041,643.2365901345987,0
200,1257204573.2961257,890.3991018891937,645.1906866849994,0
201,1256427284.8125267,890.0732272434793,647.1405956527461,0
202,1255653356.9235055,889.748050939417,649.0863260117294,0
203,1254882775.1709776,889.4235714804778,651.0278867166091,0
204,1254115525.1589115,889.0997873733385,652.9652867028551,0
205,1253351592.55306,888.7766971278764,654.8985348867891,0
206,1252590963.0806954,888.454299257163,656.8276401656251,0
207,1251833622.5303462,888.1325922774554,658.7526114175105,0
208,1251079556.7515342,887.8115747081904,660.6734575015674,0
209,1250328751.6545136,887.4912450719778,662.5901872579327,0
210,1249581193.21001,887.1716018945934,664.5028095077997,0
211,1248836867.4489617,886.8526437049724,666.4113330534569,0
212,1248095760.462262,886.5343690352016,668.3157666783303,0
213,1247357858.4005003,886.2167764205149,670.2161191470242,0
214,1246623147.4737082,885.8998643992838,672.1123992053592,0
215,1245891613.9511037,885.583631513013,674.0046155804142,0
216,1245163244.1608386,885.2680763063321,675.8927769805664,0
217,1244438024.4897444,884.9531973269898,677.7768920955311,0
218,1243715941.3830812,884.638993125847,679.6569695964012,0
219,1242996981.3442874,884.3254622568701,681.5330181356887,0
220,1242281130.9347308,884.012603277124,683.405046347363,0
221,1241568376.77346,883.7004147467659,685.2730628468908,0
222,1240858705.5369556,883.3888952290391,687.1370762312761,0
223,1240152103.9588869,883.0780432902656,688.9970950790998,0
224,1239448558.8298645,882.7678574998384,690.8531279505595,0
225,1238748056.9971974,882.458336430218,692.7051833875084,0
226,1238050585.3646486,882.1494786569235,694.5532699134943,0
227,1237356130.8921936,881.8412827585266,696.3973960337993,0
228,1236664680.5957825,881.5337473166448,698.2375702354788,0
229,1235976221.5470932,881.2268709159357,700.0738009874012,0
230,1235290740.8733008,880.9206521440897,701.906096740286,0
231,1234608225.7568314,880.6150895918233,703.7344659267433,0
232,1233928663.4351323,880.3101818528736,705.5589169613116,0
233,1233252041.2004323,880.005927523991,707.3794582404981,0
234,1232578346.3995075,879.702325204934,709.1960981428153,0
235,1231907566.4334483,879.3993734984602,711.0088450288218,0
236,1231239688.7574263,879.0970710103225,712.8177072411595,0
237,1230574700.880459,878.7954163492614,714.622693104592,0
238,1229912590.365187,878.4944081269989,716.4238109260435,0
239,1229253344.827635,878.1940449582316,718.2210689946362,0
240,1228596951.9369898,877.8943254606255,720.0144755817294,0
241,1227943399.4153688,877.595248254808,721.804038940956,0
242,1227292675.0375931,877.2968119643638,723.5897673082633,0
243,1226644766.6309643,876.9990152158259,725.3716689019478,0
244,1225999662.0750368,876.7018566386712,727.1497519226947,0
245,1225357349.301394,876.4053348653135,728.9240245536154,0
246,1224717816.2934272,876.1094485310977,730.6944949602854,0
247,1224081051.0861115,875.8141962742922,732.4611712907811,0
248,1223447041.7657857,875.5195767360843,734.2240616757177,0
249,1222815776.4699316,875.2255885605733,735.9831742282875,0
250,1222187243.3869553,874.9322303947635,737.7385170442955,0
251,1221561430.7559688,874.6395008885595,739.4900982021978,0
252,1220938326.8665705,874.3473986947583,741.2379257631391,0
253,1220317920.0586329,874.0559224690443,742.982007770988,0
254,1219700198.7220833,873.7650708699827,744.7223522523768,0
255,1219085151.2966921,873.4748425590132,746.4589672167365,0
256,1218472766.2718558,873.1852362004444,748.1918606563329,0
257,1217863032.186388,872.8962504614473,749.9210405463062,0
258,1217255937.6283052,872.6078840120485,751.6465148447053,0
259,1216651471.234614,872.3201355251249,753.3682914925249,0
260,1216049621.6911068,872.0330036763976,755.0863784137428,0
